submission_id,created_at,updated_at,source_type,is_open,is_partial,first_name,middle_name,last_name,gotyme_bank_account,email_address,referrer_full_name,referrer_gotyme_bank_account,referrer_email_address,accepted_terms_and_conditions,accepted_emails_and_notifications,full_name
6a27a474069e52facd4642c8,2026-06-09T05:28:22.480Z,2026-06-09T05:28:29.516Z,WEB,true,false,Anjanette,test,Acedera,345355345345,aacedera+9@exist.com,JJ,543534535435,jtandoc@exist.com,I accept,I accept,Anjanette test Acedera
6a26323a95cdcbe7d5e70fde,2026-06-08T03:08:45.111Z,2026-06-08T03:08:51.506Z,WEB,true,false,Anjanette,Test,Acedera,435534535345,aacedera@exist.com,Test,453435345345,testanj2711@gmail.com,I accept,I accept,Anjanette Test Acedera
6a2630b2c542a5f8ec89fb44,2026-06-08T03:02:12.842Z,2026-06-08T03:02:19.576Z,WEB,true,false,Anjanette,Test,Acedera,435345353453,aacedera@exist.com,test,435453453453,aacedera+3@exist.com,I accept,I accept,Anjanette Test Acedera
6a2252cc4c7ddd63ca166692,2026-06-05T04:38:39.177Z,2026-06-05T04:38:45.589Z,WEB,true,false,Anjanette,tersst,Acedera,453534534,aacedera@exist.com,Referrer1,2324324,aacedera+2@exist.com,I accept,I accept,Anjanette tersst Acedera
6a22453ae77890b5eb3439b1,2026-06-05T03:40:45.161Z,2026-06-05T03:40:51.534Z,WEB,true,false,Jaymart,Regato,Tandoc,333333333333,jtandoc@exist.com,sfasfaaf,312313123131,test@gmail.com,I accept,I accept,Jaymart Regato Tandoc
6a222e8a4c7ddd63ca165812,2026-06-05T02:03:57.276Z,2026-06-05T02:04:04.034Z,WEB,true,false,Anjanette,tersst,Acedera,423253253253,aacedera@exist.com,test test,34243243424,aacedera@exist.com,I accept,I accept,Anjanette tersst Acedera
6a222330e77890b5eb34328a,2026-06-05T01:15:31.068Z,2026-06-05T01:15:37.079Z,WEB,true,false,gasga,gasgas,gsagaga,111111111111,jtandoc@exist.com,test,123333333333,dfabella@exist.com,I accept,I accept,gasga gasgas gsagaga
6a219341e77890b5eb3415b0,2026-06-04T15:01:24.250Z,2026-06-04T15:01:31.260Z,WEB,true,false,aewawe,aewaw,aweaw,1232312,mjpollente@exist.com,kuyamart,12321,jtandoc@exist.com,I accept,I accept,aewawe aewaw aweaw
6a2192e04c7ddd63ca16337e,2026-06-04T14:59:47.325Z,2026-06-04T14:59:53.718Z,WEB,true,false,Mark,weaw,ewaewa,1231231,mjpollente@exist.com,waeaw,123123,jtandoc@exist.com,I accept,I accept,Mark weaw ewaewa
6a2191d6e77890b5eb341454,2026-06-04T14:55:21.810Z,2026-06-04T14:55:28.172Z,WEB,true,false,awe,waewa,awewa,123123,mjpollente@exist.com,waeaw,1231231,jtandoc@exist.com,I accept,I accept,awe waewa awewa
6a217fd54c7ddd63ca16201e,2026-06-04T13:38:32.065Z,2026-06-04T13:38:38.767Z,WEB,true,false,waewa,ewaewa,rwaew,2113123,mjpollente@exist.com,ewaewa,1231231,jtandoc@exist.com,I accept,I accept,waewa ewaewa rwaew
6a217f91e77890b5eb34040d,2026-06-04T13:37:23.450Z,2026-06-04T13:37:30.207Z,WEB,true,false,waeaw,jtaw,rawa,12312321,mjpollente@exist.com,waewae,1231231,jtandoc@exist.com,I accept,I accept,waeaw jtaw rawa
6a21633e4c7ddd63ca1611f4,2026-06-04T11:36:32.393Z,2026-06-04T11:36:38.823Z,WEB,true,false,412414,124124124,41241412421,4124124214,12412421412@gmail.com,14142141,124124124,4124124@gmail.com,I accept,I accept,412414 124124124 41241412421
6a214508be4cc164bd4c7390,2026-06-04T09:27:38.584Z,2026-06-04T09:27:44.919Z,WEB,true,false,waea,ewe,awes,123213,pollentemark@gmail.com,awewa,123123,jaymarttandoc@gmail.com,I accept,I accept,waea ewe awes
6a2141a3be4cc164bd4c6aee,2026-06-04T09:13:09.404Z,2026-06-04T09:13:15.875Z,WEB,true,false,wekaw,wrkawk,pweapw,231213,mjpollente@exist.com,awewa,123123,jtandoc@exist.com,I accept,I accept,wekaw wrkawk pweapw
6a2140fabe4cc164bd4c68f6,2026-06-04T09:10:20.240Z,2026-06-04T09:10:26.617Z,WEB,true,false,ata,weaw,otest,1231232,mjpollente@exist.com,htandc,2132,jtandoc@exist.com,I accept,I accept,ata weaw otest
6a214063e77890b5eb33c9a3,2026-06-04T09:07:49.438Z,2026-06-04T09:07:57.111Z,WEB,true,false,Testgain,test,test,21312321,mjpollente@exist.com,Jaymart,12321,jtandoc@exist.com,I accept,I accept,Testgain test test
6a213eade77890b5eb33c5c7,2026-06-04T09:00:32.262Z,2026-06-04T09:00:39.275Z,WEB,true,false,Testemailagain,test,test,1232132,mjpollente@exist.com,jaymart,123231,jtandoc@exist.com,I accept,I accept,Testemailagain test test
6a1e8b4897ee9a7565d111e8,2026-06-02T07:50:34.149Z,2026-06-02T07:50:41.183Z,WEB,true,false,412412,14124214,1412421,,412421@gmail.com,214412421,,21421421421412@gmail.com,I accept,I accept,412412 14124214 1412421
6a1e8a2bfa4d1e0aa1055f7c,2026-06-02T07:45:49.410Z,2026-06-02T07:45:56.344Z,WEB,true,false,412414,412412,41241,,1412421@gmailc.om,124124124,,1241421421412@gmail.com,I accept,I accept,412414 412412 41241
6a1dbc349671f3ebd677e921,2026-06-01T17:07:02.245Z,2026-06-01T17:07:08.940Z,WEB,true,false,test,test,test,,test@gmail.com,test,,test1@gmail.com,I accept,I accept,test test test
